t		 x		 v		 cos(t)		 de
 8.55031403E+00 -6.98093991E-01 -8.45184420E-01 -6.41408220E-01  1.00835962E-01
 8.67986424E+00 -8.02480413E-01 -7.49030491E-01 -7.35146394E-01  1.02510745E-01
 8.80941445E+00 -8.93706842E-01 -6.40053492E-01 -8.16563663E-01  1.04190196E-01
 8.93896466E+00 -9.70207482E-01 -5.20044323E-01 -8.84295491E-01  1.05874328E-01
 9.06851488E+00 -1.03065900E+00 -3.90983794E-01 -9.37206705E-01  1.07563155E-01
 9.19806509E+00 -1.07400340E+00 -2.55009953E-01 -9.74410525E-01  1.09256689E-01
 9.32761530E+00 -1.09946646E+00 -1.14382688E-01 -9.95283421E-01  1.10954944E-01
 9.45716551E+00 -1.10657153E+00  2.85538172E-02 -9.99475569E-01  1.12657933E-01
 9.58671573E+00 -1.09514835E+00  1.71410135E-01 -9.86916709E-01  1.14365668E-01
 9.71626594E+00 -1.06533674E+00  3.11791523E-01 -9.57817324E-01  1.16078164E-01
 9.84581615E+00 -1.01758515E+00  4.47338046E-01 -9.12665115E-01  1.17795433E-01
 9.97536636E+00 -9.52643965E-01  5.75764235E-01 -8.52216824E-01  1.19517489E-01
 1.01049166E+01 -8.71553798E-01  6.94897595E-01 -7.77485551E-01  1.21244345E-01
 1.02344668E+01 -7.75628847E-01  8.02715342E-01 -6.89723777E-01  1.22976015E-01
 1.03640170E+01 -6.66435630E-01  8.97378723E-01 -5.90402373E-01  1.24712511E-01
 1.04935672E+01 -5.45767430E-01  9.77264349E-01 -4.81185944E-01  1.26453848E-01
 1.06231174E+01 -4.15614869E-01  1.04099201E+00 -3.63904937E-01  1.28200038E-01
 1.07526676E+01 -2.78133093E-01  1.08744847E+00 -2.40524956E-01  1.29951096E-01
 1.08822179E+01 -1.35606105E-01  1.11580691E+00 -1.13113826E-01  1.31707035E-01
 1.10117681E+01  9.59115963E-03  1.12554153E+00  1.61930688E-02  1.33467869E-01
 1.11413183E+01  1.55032385E-01  1.11643727E+00  1.45228571E-01  1.35233610E-01
 1.12708685E+01  2.98280405E-01  1.08859421E+00  2.71830072E-01  1.37004274E-01
 1.14004187E+01  4.36928022E-01  1.04242681E+00  3.93875756E-01  1.38779873E-01
 1.15299689E+01  5.68638437E-01  9.78657841E-01  5.09320162E-01  1.40560421E-01
 1.16595191E+01  6.91184619E-01  8.98307123E-01  6.16228466E-01  1.42345933E-01
 1.17890693E+01  8.02486937E-01  8.02675250E-01  7.12808905E-01  1.44136421E-01
 1.19186196E+01  9.00648431E-01  6.93322584E-01  7.97442811E-01  1.45931901E-01
 1.20481698E+01  9.83987114E-01  5.72043817E-01  8.68711737E-01  1.47732385E-01
 1.21777200E+01  1.05106477E+00  4.40838551E-01  9.25421230E-01  1.49537887E-01
 1.23072702E+01  1.10071173E+00  3.01878342E-01  9.66620850E-01  1.51348423E-01
 1.24368204E+01  1.13204724E+00  1.57470788E-01  9.91620101E-01  1.53164005E-01
